content,cleaned_content,sentiment
"The add money section is MUCH less user friendly. It automatically has an amount selected so now you have to erase that unless you are using one of the pre-set amounts. An unnecessary extra step. Leave it blank, then allow us to decide the amount or use one of the quick options. Not to mention the quick add amounts DON'T WORK! You select 1 & it adds $25 instead of which 1 you selected! Also there is no longer a few of the most recent transactions on the home page. I miss this.",add money section much less user friendly automatically amount selected erase unless using one pre set amounts unnecessary extra step leave blank allow us decide amount use one quick options mention quick add amounts work select adds instead selected also longer recent transactions home page miss,positive
GREAT 😃👍🏾💯‼️,great,positive
"Horrible app. 1. Need photo id. I don't even have an id, let alone a photo one, and it the button to do so it broken and hasn't worked in months 2. My bank hates this app. I try to link my bank account, bank says no. Pretty stupid if you ask me",horrible app need photo id even id let alone photo one button broken worked months bank hates app try link bank account bank says pretty stupid ask,negative
Never any issues with app,never issues app,neutral
I love this app so easy,love app easy,positive
"Good job,thank!",good job thank,positive
Great service,great service,positive
Tried to remove my card but it would not let me! I would press delete then check and my card was still there,tried remove card would let would press delete check card still,neutral
Great,great,positive
Good 'cept now i got to pay ppl. Lol,good cept got pay ppl lol,positive
I have used this app for many years and I love it! It's easy simple and reasonably priced to use for personal needs as well as business! Whether I'm paying the bills for my family or I'm billing a customer via invoice PayPal covers my every need. They also offer the customer a layer of protection that allows customers to fell more comfortable making purchases or hiring new businesses that don't have a known name made just yet. Love this app!,used app many years love easy simple reasonably priced use personal needs well business whether paying bills family billing customer via invoice paypal covers every need also offer customer layer protection allows customers fell comfortable making purchases hiring new businesses known name made yet love app,positive
"This is the worst money app,Don't recommended! Even you didn't do anything you will get permanently limited account,so this is very useless app should banned or removed this app from playstore or appstore. Kinda scam app",worst money app recommended even anything get permanently limited account useless app banned removed app playstore appstore kinda scam app,negative
Thanks for this joyfully app,thanks joyfully app,positive
Good,good,positive
"I like this App, but for some very strange reason BARBADOS is not in the list of Countries to do transactions ....WHY???? Since I can do transfers FROM Barbados!",like app strange reason barbados list countries transactions since transfers barbados,positive
Great,great,positive
Always worked well for me.,always worked well,positive
Use paypal as my bank account it's safe secure and fast. And everyone accepts payal.,use paypal bank account safe secure fast everyone accepts payal,positive
"Apps like this rarely require reviews: because they are so widely known, but I felt the need to leave one anyway. After 4 days of disputing with a big company who absolutely refused to give me a refund, I made a dispute with paypal. Within 18 hours I received an email from the seller that a full refund will be issued with an apology for not meeting my expectations. PAYPAL is one of the safest ways to buy!",apps like rarely require reviews widely known felt need leave one anyway days disputing big company absolutely refused give refund made dispute paypal within hours received email seller full refund issued apology meeting expectations paypal one safest ways buy,negative
Good and easy to open.. very useful 😃,good easy open useful,positive
Error in adding bank,error adding bank,negative
How do get my account number,get account number,positive
It would be great if I could transfer funds from my PayPal to my account without having to open the website.,would great could transfer funds paypal account without open website,positive
"App works great, however entering other currencies than USD is a pain in the behind. For example, with czech crowns 780,- translates into 78 thousand, and you have to enter it as 7.80 to send 780... which is pretty stupid imo",app works great however entering currencies usd pain behind example czech crowns translates thousand enter send pretty stupid imo,positive
I refunded 50$ and still hasn't gets it but it says I already recieved while not this is so disappointing I'm dissatisfied for this.,refunded still gets says already recieved disappointing dissatisfied,negative
Good,good,positive
I have fund on my PayPal account and the account was disable for past 180 days now uptill now I don't receive any message in my mail to withdraw my fund wish means PayPal have reap me and many people said that's how they do,fund paypal account account disable past days uptill receive message mail withdraw fund wish means paypal reap many people said,positive
"paypal declining the payment and account status is looking ok, even I can't see any message from PayPal for this error... worst app.",paypal declining payment account status looking ok even see message paypal error worst app,negative
My account got hacked previous week not secure......,account got hacked previous week secure,negative
does not want to login to my account,want login account,positive
Great app,great app,positive
"It takes time to verify my account. I received a little amount of money as allowance and it is still on hold for 10 days already. Can't contact customer service, only AI generated chats. I will change my rating once I can transfer my money to my bank. When they lift the ""On Hold"" status.",takes time verify account received little amount money allowance still hold days already contact customer service ai generated chats change rating transfer money bank lift hold status,neutral
Handy easy and safe,handy easy safe,positive
"The conversion rates are terrible, I'm losing 5-10% I send money in different currency",conversion rates terrible losing send money different currency,negative
I've had nine cell phones in 2 years because they keep doing this to me,nine cell phones years keep,neutral
To complicated,complicated,neutral
Very good 👍,good,positive
Always easy to use.,always easy use,positive
"Great customer support, and the app works well.",great customer support app works well,positive
"Allows me to help family abroad , taking worry away, thank you",allows help family abroad taking worry away thank,positive
"Please add the ðark mode theme,it'll be really useful",please add ðark mode theme really useful,positive
👍👍♥️♥️,,neutral
"Terrible, You cannot get through by phone",terrible get phone,negative
Such a wonderful app,wonderful app,positive
Ase,ase,neutral
Part of the problem with banking systems,part problem banking systems,negative
Very very good but hard to understand.,good hard understand,positive
on second thought this app tried to withdraw $300 from my bank? where's the security,second thought app tried withdraw bank security,positive
not support iraq,support iraq,positive
"Too expensive, but it works.",expensive works,neutral
"Hey there PayPal, I hope that you see this and reach out to me as soon as possible, I made an account on PayPal not too long ago, It was going well until all of a sudden I couldn't log in anymore, I was confused but I tried contacting your customer service and it kept saying network unavailable, this is very stressful considering how I was just starting to see a way for my customers to pay me, PayPal is a very well constructed app and I love it but please fix this issue, thank you🩷🙏",hey paypal hope see reach soon possible made account paypal long ago going well sudden log anymore confused tried contacting customer service kept saying network unavailable stressful considering starting see way customers pay paypal well constructed app love please fix issue thank,positive
Very nice,nice,positive
"the worst,",worst,negative
Keeps saying my purchase exceeds my 1 and I haven't used it in 6 months so bad bad app,keeps saying purchase exceeds used months bad bad app,negative
Easy to find your way around and found it secure,easy find way around found secure,positive
rubbish!,rubbish,neutral
I KNOW i an safer using PAYPAL,know safer using paypal,positive
Nice Ang good,nice ang good,positive
Subrang tagal bago mag open Ang PayPal app,subrang tagal bago mag open ang paypal app,neutral
Why i cannot transfer my money!!,transfer money,neutral
Excellent,excellent,positive
"Ive been waiting for my paypal card for almost 6 months, they always say they are sending me a new one but never do ive had this struggle for about 2 years now ive only had 1 paypal card it was a struggle to get that one and the card got stolen now once again im stuck here waiting to get another",ive waiting paypal card almost months always say sending new one never ive struggle years ive paypal card struggle get one card got stolen im stuck waiting get another,negative
"Amazing app,I love it❤️",amazing app love,positive
Good,good,positive
I never once had any problems using this app.,never problems using app,positive
Good. But I don't understand why it doesn't allow screenshots now. That's how I usually confirm that I'm sending money to the right person.,good understand allow screenshots usually confirm sending money right person,positive
I've been reporting about an incorrect bill but when ever I'm at the resolution center there's always a problem on their side,reporting incorrect bill ever resolution center always problem side,negative
Very good 😊,good,positive
Good to have,good,positive
I cant login it always say wrong password and my password is correct so annonying i hate it,cant login always say wrong password password correct annonying hate,negative
Good,good,positive
"Pero que basura de app, no puedo ni usarla para lo que fue hecha por que apenas cree la cuenta me la bloquearon por que piensan que no soy yo, como es eso? Y por alguna razón los permisos de la cámara no sirven por que no me funciona la cámara, en fin perdida de tiempo intentar arreglar eso",pero que basura de app puedo ni usarla para lo que fue hecha por que apenas cree la cuenta la bloquearon por que piensan que soy yo como es eso por alguna razón los permisos de la cámara sirven por que funciona la cámara en fin perdida de tiempo intentar arreglar eso,neutral
Very good for making payments and receiving foreign currencies,good making payments receiving foreign currencies,positive
"* Paypal keeps track of my spending- l would like to see in their deduction info, WHO/WHERE the debit went... as l don't always recall that info- l see the amount, date debited and PayPal took it... yes, l already know PayPal took it= but to whom did it go?????? ** I DO like how easy it is to send money= my grown children frequently need a bit of momma's assistance and it's so simple to oblige... haven't RECEIVED any funds as yet, so I can not attest to as how easily that works.",paypal keeps track spending l would like see deduction info debit went l always recall info l see amount date debited paypal took yes l already know paypal took go like easy send money grown children frequently need bit momma assistance simple oblige received funds yet attest easily works,positive
Work great but still a little bit confusing if your not used to it. Once you get used to its Great no problems at all.,work great still little bit confusing used get used great problems,positive
Paypal I just the best app and secure,paypal best app secure,positive
"We love it, and is very good",love good,positive
I have had amazing experiences with PayPal ..their security fixes so much when a person is victimized by a scam,amazing experiences paypal security fixes much person victimized scam,negative
Quick and painless !,quick painless,positive
"Let me start by saying I have been using PayPal since 2003 and I am Highly disappointed in them. I mainly use it for ebay. However, I had found a game that claimed to pay out money. I got disinterested in the game and cashed out at a dollar and some change. Simultaneously when I cashed out this scammer game got into my PayPal and turned on a setting which I have never turned on. PayPal said I turned it on and I did NOT. Thry said they fixed it,they did Not & it overdrew me!",let start saying using paypal since highly disappointed mainly use ebay however found game claimed pay money got disinterested game cashed dollar change simultaneously cashed scammer game got paypal turned setting never turned paypal said turned thry said fixed overdrew,negative
Easy peasy,easy peasy,positive
Easy to operate,easy operate,positive
"App broke, causing me to be unable to submit the information to remove the initial limitation, causing me to have an unusable account. I can't close the account either until the limitation is removed. They have all my information now, and I get nothing in return.",app broke causing unable submit information remove initial limitation causing unusable account close account either limitation removed information get nothing return,negative
A very quick and efficient means to transact,quick efficient means transact,positive
Brilliant!,brilliant,positive
Easy to use and trust able system.,easy use trust able system,positive
Always consistent with great features.,always consistent great features,positive
"Since I use it, I like it so much, I don't have any problem using this app it's user-friendly, so I rate 5.",since use like much problem using app user friendly rate,positive
It's been around a long time and still tried and true. Can't go wrong.,around long time still tried true go wrong,negative
PayPal is not like they say,paypal like say,positive
Awesome,awesome,positive
Useless app,useless app,negative
"Fast,Secure,and Convenient",fast secure convenient,positive
It works,works,neutral
Still a bit unknown but I will learn. New experience.,still bit unknown learn new experience,neutral
Needs better directions,needs better directions,positive
"I hate Paypal. Hate it hate it hate it. I wish my company would just stop using it, its torture!Like why I cant screen shot my own damn phone? Its already showing in my phone so why restrict the screen shot?? Just stupid. And why is everything so hard to find out how to do everything.",hate paypal hate hate hate wish company would stop using torture like cant screen shot damn phone already showing phone restrict screen shot stupid everything hard find everything,negative
Used for years now.,used years,neutral
Paypal always take my of refund when received a wrong products,paypal always take refund received wrong products,negative
"The most useless customer care services ever, you can't contact them and explain your issues everytime you try to contact them, you are referred to a robot called Beta whom if you ask to talk to an available customer care agent it will everytime tell you sorry there is no available customer service agent right now, try again later I have lost all my customers because of this stupid app for limiting my account even after providing legal government documents.",useless customer care services ever contact explain issues everytime try contact referred robot called beta ask talk available customer care agent everytime tell sorry available customer service agent right try later lost customers stupid app limiting account even providing legal government documents,negative
Never a problem since I've used pay pal,never problem since used pay pal,positive
Love this app. fast and convenient,love app fast convenient,positive
Works as intended,works intended,neutral
I find it difficult because ghana is not available available in the country,find difficult ghana available available country,negative
This is a great app!,great app,positive
good app but they have to add it to Saudi Arabia,good app add saudi arabia,positive
"what's is wrong with paypal I have verified my email and phone number still I can't send money to anyone one, it' keep showing try again later or some error occurred something it shows you can't send money to someone from different country but I was sending money to my friend who lives in the same country",wrong paypal verified email phone number still send money anyone one keep showing try later error occurred something shows send money someone different country sending money friend lives country,negative
Wicked awesome,wicked awesome,positive
Good,good,positive
Fast and easy to use,fast easy use,positive
Love paypal,love paypal,positive
"Convenient, Reliable, Secure",convenient reliable secure,positive
"Paypal have permanently limited my account for no reason and I'm protesting against the limitations... because my account did not violate any of their policy rules and user agreements. So I demand they look through it and remove the limitations. If this is a racist app, let me know 😑🙄",paypal permanently limited account reason protesting limitations account violate policy rules user agreements demand look remove limitations racist app let know,negative
I can't imagine not having this app!!!!!!,imagine app,neutral
Awesome & easy,awesome easy,positive
"Horrible UI. Tried to use Grubhub through Paypal, and the stupid refresh button covers up Grubhub's checkout button. Makes it impossible to use.",horrible ui tried use grubhub paypal stupid refresh button covers grubhub checkout button makes impossible use,negative
Much simpler now am used to it!,much simpler used,neutral
Good transactions,good transactions,positive
It's nice app,nice app,positive
Love,love,positive
Very easy to use App!,easy use app,positive
Love PayPal,love paypal,positive
A bit confusing!,bit confusing,negative
"Paypal needs to be more transparent about reasons they suddenly shut down an account, especially a 20+ year customer.",paypal needs transparent reasons suddenly shut account especially year customer,neutral
"I'm running into error messages with the PayPal app. I tried to get crypto to work but it's not available in my region, the United States 🤷. I also can't add my yahoo email to my account due to error ""we can't verify it's you."". Support just wants me to try again later. One star is generous.",running error messages paypal app tried get crypto work available region united states also add yahoo email account due error verify support wants try later one star generous,positive
Too good,good,positive
So far so good,far good,positive
"When you make a claim, and send PayPal email. Somehow you still need to call them ...",make claim send paypal email somehow still need call,neutral
still trying to send money...it's a learning process I guess,still trying send money learning process guess,neutral
Life saver,life saver,neutral
"I like using it very convenient, customer service always can be better",like using convenient customer service always better,positive
Easy transaction,easy transaction,positive
Good...but the customer care services ain't that good,good customer care services good,positive
Repeatedly asked to verify with my phone number,repeatedly asked verify phone number,positive
"I'm fed up ofmy passwords not being recognised to change it, it takes forever to do with the stupid (I am not a robot)",fed ofmy passwords recognised change takes forever stupid robot,negative
Very good cash app,good cash app,positive
Nice one,nice one,positive
I do appreciate all of the helpful and useful options that PayPal has but i also find it very frustrating when they make it almost impossible to really get money raised. My example is I tried to set up a fundraiser to help someone in need but it didn't go anywhere due to people not really being able to see it like you can when I used GoFundMe. I'm still rating 4 stars 🌟 🌟 🌟 🌟 because when my account was hacked they noticed in the middle of the night and froze my card n called me in the am,appreciate helpful useful options paypal also find frustrating make almost impossible really get money raised example tried set fundraiser help someone need go anywhere due people really able see like used gofundme still rating stars account hacked noticed middle night froze card n called,positive
Good,good,positive
Gut,gut,neutral
Fast and reliable,fast reliable,neutral
"They say you get your taxes up to 5 days early clearly that's not the case, mine says the 10th the 10th is tomorrow, where's the 5 days early. SMH 😒",say get taxes days early clearly case mine says th th tomorrow days early smh,positive
Very good only thing is the photos when checking if I am human the photos at times are not very clear also some are American can b confusing,good thing photos checking human photos times clear also american b confusing,positive
what an absolute scam. avoid,absolute scam avoid,negative
Very Convenient,convenient,neutral
Git,git,neutral
Safe and very reliable,safe reliable,positive
"My personal opinion& experience shouldn't be threatened with ""Reviews are public & include your account & device info."" That's quite threatening. So, I went to experience what PayPal had to offer. Spend $20 or more & u get $5. If u read, u had to pay $5 for PayPal to regurgitate promises. The contradictions are well placed. Fees, monthly fees, god forbid u miss a payment. PayPal rep will tell u, ""Everything is in writing. If u failed to read billions of words that talk in circles...",personal opinion experience threatened reviews public include account device info quite threatening went experience paypal offer spend u get u read u pay paypal regurgitate promises contradictions well placed fees monthly fees god forbid u miss payment paypal rep tell u everything writing u failed read billions words talk circles,negative
I've played a few games that supposedly pays just waiting on the outcome of some of those games,played games supposedly pays waiting outcome games,positive
Super,super,positive
to easy to get into,easy get,positive
Noice,noice,neutral
Money conversion rate is horrible they steal alot and take a cashing out fee on top of that. Also there's a bug rn and can't access or make an account,money conversion rate horrible steal alot take cashing fee top also bug rn access make account,negative
Good,good,positive
So far I have not had any problems getting every thing accomplished 🙃!!!,far problems getting every thing accomplished,positive
Customer service and payment method sucks. My debit visa card is linked with paypal and after having one transaction the system declines 2nd attempt of transaction. I called my bank to make sure if there is anything wrong with my card but I was told that my card is completely fine. So I called paypal customer service and they informed me this is a security blockage by their system and if their system cools down I will be able to complete my transaction and they are unable to help.,customer service payment method sucks debit visa card linked paypal one transaction system declines nd attempt transaction called bank make sure anything wrong card told card completely fine called paypal customer service informed security blockage system system cools able complete transaction unable help,positive
"The app is completely covered in BS rebate advertisements, it's hard to even tell where anything is. I'm pretty sure it's actually impossible to close your account they want your information at all costs. Pages leading back to themselves you get nowhere they force you to talk to an AI you can't even send an email because they claim their representatives aren't at work which doesn't make sense the point of an email means you are 24/7. PayPal used to be useful now it's just a toxic octopus",app completely covered bs rebate advertisements hard even tell anything pretty sure actually impossible close account want information costs pages leading back get nowhere force talk ai even send email claim representatives work make sense point email means paypal used useful toxic octopus,positive
It's ok,ok,positive
Good service.,good service,positive
"Nice, convenient",nice convenient,positive
Screenshots not working.,screenshots working,neutral
"I didn't get to use Pay Pal, I have blocked myself on the PPal app on my device, and now I can not rectify my mistake. Is there someone that can help me rectify my PPal app on my device. Maybe refresh my downloaded PP app from scratch, so I can start over, and do it correctly this time!!?",get use pay pal blocked ppal app device rectify mistake someone help rectify ppal app device maybe refresh downloaded pp app scratch start correctly time,negative
easy to link other cards and transfer and instant,easy link cards transfer instant,positive
I love this app,love app,positive
Why is PayPal not working in Nigeria?,paypal working nigeria,neutral
I can't find out how to put money in the account but overall its good,find put money account overall good,positive
Bank account is not loading.,bank account loading,neutral
Good app,good app,positive
Good,good,positive
Fast and easier requests,fast easier requests,positive
Awesome platform,awesome platform,positive
Wonderful. I love PayPal,wonderful love paypal,positive
Camera app has a bug to were I allow camera access but keeps saying to allow camera access.,camera app bug allow camera access keeps saying allow camera access,positive
Great payment plans and security.,great payment plans security,positive
horrible I had venmo had to resort to this and it charges every time I sendoney why that why people would rather have venmo and if it weren't for my dam debit card having something wrong in venmo I would be with vemno and not PayPal,horrible venmo resort charges every time sendoney people would rather venmo dam debit card something wrong venmo would vemno paypal,negative
Nice,nice,positive
Bat nag lolog Po Peru okay Naman,bat nag lolog po peru okay naman,negative
Apparently putting it on my laptop is a security risk you can't open it up the app sucks,apparently putting laptop security risk open app sucks,negative
"Half of the interface either doesn't work or doesn't load every single time I go to try to verify my identity. I've had nothing but trouble with this app, but have no choice but to use it as some people don't have other apps.",half interface either work load every single time go try verify identity nothing trouble app choice use people apps,positive
Exceptional!!!!,exceptional,neutral
Very trusted way to pay.... I know I'll get what I ordered it be refunded,trusted way pay know get ordered refunded,positive
Goood,goood,neutral
"Fast, quick, easy. Getting better all the time.",fast quick easy getting better time,positive
Why can't I install this app?! I just got my replacement phone and am trying to get all my apps back...but this one won't install.,install app got replacement phone trying get apps back one install,neutral
I love PayPal it's work for ME.,love paypal work,positive
I love the way you can't have money if you're under 18 that's actually really cool,love way money actually really cool,positive
good,good,positive
"Horrible,I changed pass word as asked to do.Now wont accept it and has locked me out because of too many attempts.Very disappointed. I was looking forward to this app for different payments.I hope you read this and can offer some assistance, we are not all tech savvy, regards Gavin Morgan .",horrible changed pass word asked wont accept locked many attempts disappointed looking forward app different payments hope read offer assistance tech savvy regards gavin morgan,negative
Good,good,positive
Terrible!!! This is the worst app I've ever used!!! Just because I tried buying Bitcoin for the first time and I used afterpay they blocked my account and won't let me have my money that I worked for and I'm a single father of 3 children with no vehicle!! I still had almost $300 and they won't let me do anything with it!! How is that okay?? If you are smart you will stay far away from anything PayPal!!!!,terrible worst app ever used tried buying bitcoin first time used afterpay blocked account let money worked single father children vehicle still almost let anything okay smart stay far away anything paypal,negative
very convenient and quick,convenient quick,neutral
Very easy to use and send money trying it out for something different I know I will like it,easy use send money trying something different know like,positive
where can I add my personal tymebank account link it to PayPal please help,add personal tymebank account link paypal please help,positive
"Love it, itckes everything much more convenient for everyone!",love itckes everything much convenient everyone,positive
Not happy with the PayPal,happy paypal,positive
It work well and you are in good hands,work well good hands,positive
Five Stars,five stars,neutral
"It's being really rubbish at the moment, I was trying to help my fiance in the US out with bills and it keeps not letting me load money to my balance, which I HAVE to do to avoid EXTORTIONATE bank fees! This is ridiculous. GET IT FIXED!",really rubbish moment trying help fiance us bills keeps letting load money balance avoid extortionate bank fees ridiculous get fixed,negative
It's better than all other apps,better apps,positive
Have some security issues With me system,security issues system,positive
Reliable and convenient 👍🏾,reliable convenient,neutral
"Makes buying things online more safe! Purchase something online, follow the instructions and if you don't receive it, they'll pay you back. Must get a shipping #",makes buying things online safe purchase something online follow instructions receive pay back must get shipping,positive
Easy peasy,easy peasy,positive
Gives your data to everyone. They don't even follow their own policies,gives data everyone even follow policies,neutral
Trying register,trying register,neutral
PayPal needs to work on their app I don't understand why screenshot can't be taken,paypal needs work app understand screenshot taken,neutral
Great app,great app,positive
Nice app,nice app,positive
Always timely and accurate receipts,always timely accurate receipts,neutral
Good times,good times,positive
I love PayPal,love paypal,positive
I received o. O1 $ it's awesome totally paid apps. Thanks,received awesome totally paid apps thanks,positive
I've had many issues with your app.I'm waiting for a supervisor to call me at this time,many issues app waiting supervisor call time,neutral
Easy transaction,easy transaction,positive
Easy to use.,easy use,positive
I hate this app if I could give negative stars I would. Absolute zero option to go paperless statements. If I can't have it my way I won't use this app at all as long I live. This app is terrible,hate app could give negative stars would absolute zero option go paperless statements way use app long live app terrible,negative
رائع,رائع,neutral
Absolutely disgusted with this app Worst experience of my life.i try to open it and it says I need to update to latest version . Then it says I can't update the app..back and fourth 40 times ..what a waist of time,absolutely disgusted app worst experience life try open says need update latest version says update app back fourth times waist time,negative
I love,love,positive
It definitely is a very helpful app I use it in my everyday life,definitely helpful app use everyday life,positive
Lousy,lousy,negative
It's really nice other than I don't like the way it sends money sometimes,really nice like way sends money sometimes,positive
Ease of use is phenomenal.,ease use phenomenal,positive
great,great,positive
Very good,good,positive
"Closed my PayPal account due to sheer incompetence of their dispute management team. Only reason I used PayPal is because of its advertised consumer protection features, which I now see is nothing but an illusion. Never again, PayPal.",closed paypal account due sheer incompetence dispute management team reason used paypal advertised consumer protection features see nothing illusion never paypal,negative
Have a horrible experience with PayPal,horrible experience paypal,negative
User-friendly and secure.,user friendly secure,positive
"Newer again. Another transaction, and it's not on the list Paypal money was taken from the bank account",newer another transaction list paypal money taken bank account,neutral
Very good,good,positive
Very nice app,nice app,positive
It's so funny cause I can't even write my date of birth they're only giving me January and February 😂😂💔,funny cause even write date birth giving january february,positive
Always accurate and convenient. Fast results.,always accurate convenient fast results,neutral
Unstable. The mobile app doesn't let me log out. In the most unexpected moments they asking ID but not accepting any and block the money sending functions. The customer service is usually arrogant and not helpful. Unfortunately there isn't any similar app in the market accepted by many parties and they use their position well.,unstable mobile app let log unexpected moments asking id accepting block money sending functions customer service usually arrogant helpful unfortunately similar app market accepted many parties use position well,positive
Perfect for i need,perfect need,positive
This app is pretty great! Easy to navigate and use.,app pretty great easy navigate use,positive
No bag is better than PayPal PayPal is so awesome and let you do so many different things and it's so simple and so reliable and just so darn perfect that you have to get it to find out what I'm talking about because I love it it's very good for putting all your gaming money together and sitting in keeping track of accounts,bag better paypal paypal awesome let many different things simple reliable darn perfect get find talking love good putting gaming money together sitting keeping track accounts,positive
Good,good,positive
It's very fast to send $,fast send,neutral
Trust worthy,trust worthy,positive
Good app,good app,positive
"I normally have no issues with PayPal until the last week. Have been trying to complete a purchase on the KUHL mobile app, and it won't let me if I use PayPal. Contacted Kuhl and they responded that this has been happening for many customers since PayPal updated their app. works just fine on computer so it's just a mobile app issue. I hope this issue can be fixed as it is a bit of an inconvenience.",normally issues paypal last week trying complete purchase kuhl mobile app let use paypal contacted kuhl responded happening many customers since paypal updated app works fine computer mobile app issue hope issue fixed bit inconvenience,positive
Great App,great app,positive
Fast and easy,fast easy,positive
Little thig,little thig,neutral
I don't have anything good thing to say about this app. The customer service is good the system is horrible!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,anything good thing say app customer service good system horrible,positive
Good,good,positive
👍👍👍,,neutral
Great,great,positive
"Great service, really convenient 👍",great service really convenient,positive
A very secure app for payments and transfers to people and businesses.,secure app payments transfers people businesses,positive
This app helps alot,app helps alot,positive
"Easy, user friendly to use and a quick and safe way to pay in seconds. I highly recommend this app. It even tracks all your packages coming in for you. AWESOME!",easy user friendly use quick safe way pay seconds highly recommend app even tracks packages coming awesome,positive
Good,good,positive
Excellent,excellent,positive
Why do I need a USA account number when it's my money that part didn't any sense to me it's also not reliable no matter how much games you play,need usa account number money part sense also reliable matter much games play,positive
Good working app and very convenient in terms of service,good working app convenient terms service,positive
Someone hacked my phone and connected cash app to my PayPal. I do not have cash app and any other payment methods except keybank which they stole my info to so I couldn't log in. Could you please remove them from my account.,someone hacked phone connected cash app paypal cash app payment methods except keybank stole info log could please remove account,negative
Very good to app,good app,positive
Far easier to use than I thought it would be,far easier use thought would,positive
Works as it should never have any issues with it Till recently it won't let me choose how to send (friends and family or goods and services),works never issues till recently let choose send friends family goods services,positive
Easy to maneuver,easy maneuver,positive
"Hello , when I make a request for money , It tells me , sorry about the wait ""our application is experiencing an issue , please try it later"" , please fix it fast.",hello make request money tells sorry wait application experiencing issue please try later please fix fast,positive
Very good and relatable to withdraw and relatable ✅,good relatable withdraw relatable,positive
It was easy,easy,positive
Its nice,nice,positive
It doesn't work,work,neutral
No like,like,positive
Good looking forward,good looking forward,positive
okay to use,okay use,positive
Great way to track your money!,great way track money,positive
"Lamento tanto comportamento creative da aplicação...e ausência de suporte de quakidade, existindo apenas humanos em horario até 16.30? ...",lamento tanto comportamento creative da aplicação e ausência de suporte de quakidade existindo apenas humanos em horario até,positive
Can't find this account,find account,neutral
Fabulous app 😍,fabulous app,positive
Good apo,good apo,positive
Seamless,seamless,neutral
"Great way to provide payroll for the self employed entrepreneurs of the world. From me to you, here is a big Thank you.",great way provide payroll self employed entrepreneurs world big thank,positive
"An amazing app, fast and secure. So easy to use. Thank you",amazing app fast secure easy use thank,positive
Love using paypal,love using paypal,positive
Such a bad experience. 2450$ in my account and PayPal remove my account. One of my customer file a case on me even I provide tracking I'd of Shipping picture of products each and every detail I provide but still my customer win the case. PayPal close the case and Remove my account,bad experience account paypal remove account one customer file case even provide tracking shipping picture products every detail provide still customer win case paypal close case remove account,positive
It allows to send money overseas,allows send money overseas,neutral
Took me some time to understand it But I like 👍 how,took time understand like,positive
When I login to my PayPal account from my Samsung internet or Chrome it isn't displaying anything and it's really frustrating I can't deal with that please fix that... I wish I could give lower than 1 Star ⭐ because of that,login paypal account samsung internet chrome displaying anything really frustrating deal please fix wish could give lower star,negative
Love it!,love,positive
Makes things alot easier,makes things alot easier,positive
Great,great,positive
Very stimulating and relaxing at the same time,stimulating relaxing time,positive
Great way to build up credit,great way build credit,positive
$1.25 fee to send $7,fee send,neutral
Its very reliable,reliable,neutral
Legit,legit,neutral
Terrible way to many fees.,terrible way many fees,negative
"Constantly gets hung up loading, crashes. Don't use this service unless fixed",constantly gets hung loading crashes use service unless fixed,neutral
Good,good,positive
paypal doesn't accept brazilian pix = useless app in brazil,paypal accept brazilian pix useless app brazil,negative
Easy to send money to friends and save money with great deals with the cash back offers .,easy send money friends save money great deals cash back offers,positive
Most reliable Customer Services in my experiences 💓💓💓💓💓 Thank You PayPal Customer Services,reliable customer services experiences thank paypal customer services,positive
Fast and reliable,fast reliable,neutral
Very convenient and trusted,convenient trusted,positive
Could not establish an account. Message kept replying come back later. However the member did provide an alternate method of payment.,could establish account message kept replying come back later however member provide alternate method payment,neutral
Fees are ridiculous 😒,fees ridiculous,negative
quick and easy,quick easy,positive
Paypal is hassle free payment App for all payment,paypal hassle free payment app payment,positive
t It cannot be used in Afghanistan. Please activate it.,used afghanistan please activate,positive
Love this app,love app,positive
Paypal credit won't load! Says there is an error and I can't make my payment because of this glitch,paypal credit load says error make payment glitch,negative
Nice,nice,positive
Great help no Problems,great help problems,positive
Good,good,positive
"Banned me for no reason. Been using it for over 5 years. No reason, no explanation.",banned reason using years reason explanation,negative
Nice 🙏,nice,positive
"PayPal has been great one of my go to's, or, in many cases, my exclusive choice, for fast, secure transactions, in a broad range of dynamic mobile features.They get my vote eveytime.",paypal great one go many cases exclusive choice fast secure transactions broad range dynamic mobile features get vote eveytime,positive
Ok,ok,positive
It's a great idea,great idea,positive
Love it quick and easy,love quick easy,positive
"I've needed to make my life less stressful, especially since I don't drive anymore.PayPal is the answer for me!",needed make life less stressful especially since drive anymore paypal answer,negative
I can not get to my account and it a being a real pain,get account real pain,negative
"It's an ok app to occasionally transfer $ to friends, but don't trust their buyer protection. All a company has to do is claim they refunded you some other way if they cancel your order. PayPal believes them and you're out the $.",ok app occasionally transfer friends trust buyer protection company claim refunded way cancel order paypal believes,positive
Easy to use,easy use,positive
I have never had any issues using this service.,never issues using service,neutral
Good,good,positive
Can anyone explain to me what is going on with PayPal.? Seems like it having technical difficulties. Trying to verify my identity by using the oval scan but that seems like it's not working. Need to fix that problem. Paypal just seems like they're not fixing these issues on their app. Thinking of canceling and closing my account.,anyone explain going paypal seems like technical difficulties trying verify identity using oval scan seems like working need fix problem paypal seems like fixing issues app thinking canceling closing account,positive
Best,best,positive
Good pricessing,good pricessing,positive
Excellent,excellent,positive
Just good being us,good us,positive
